Fetching macro gate...
MACRO GATE ΓÇö PARTIAL | score=51.0 | sizing=60%
Scoring S&P 500 universe (batched download ΓÇö under a minute)...
    symbol    sector                    momentum    score    gate_sizing
--  --------  ----------------------  ----------  -------  -------------
 0  MNST      Consumer Staples              0.61   100.00           0.60
 1  ROST      Consumer Discretionary        0.76   100.00           0.60
 2  SNDK      Information Technology       40.54   100.00           0.60
 3  FIX       Industrials                   2.63   100.00           0.60
 4  ALB       Materials                     1.11   100.00           0.60
 5  CNC       Health Care                   1.00   100.00           0.60
 6  APA       Energy                        0.73   100.00           0.60
 7  HST       Real Estate                   0.55   100.00           0.60
 8  C         Financials                    0.69   100.00           0.60
 9  ECHO      Communication Services        2.24   100.00           0.60
10  EIX       Utilities                     0.52   100.00           0.60
11  VRT       Industrials                   1.57    98.73           0.60
12  IBKR      Financials                    0.59    98.68           0.60
13  WDC       Information Technology        8.76    98.63           0.60
14  VTRS      Health Care                   0.82    98.31           0.60
15  TPR       Consumer Discretionary        0.54    97.87           0.60
16  CAT       Industrials                   1.48    97.47           0.60
17  MS        Financials                    0.58    97.37           0.60
18  LITE      Information Technology        8.06    97.26           0.60
19  CASY      Consumer Staples              0.56    97.06           0.60

Scan #123 saved to swing.db
